FrameVarjo;UnityFrame;ExperimentTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability
139342;1336;41.61713;(0.062, 1.234, -1.525);(11.436, 29.802, 2.313);VALID;(-0.0244272444397211, 0.00198338273912668, 0.999699652194977);(0, 0, 0);VALID;(-0.0225574169307947, -0.00769385322928429, 0.999715924263);(-0.0323680005967617, 0, 0);0.191833287477493;VALID;(-0.0262946970760822, 0.0116604259237647, 0.999586224555969);(0.0323680005967617, 0, 0);0.212427243590355;2;1
139343;1336;41.61713;(0.062, 1.234, -1.525);(11.436, 29.802, 2.313);VALID;(-0.0341184623539448, 0.0119627667590976, 0.999346196651459);(0, 0, 0);VALID;(-0.0320748761296272, 0.00373561633750796, 0.999478459358215);(-0.0323680005967617, 0, 0);0.189548090100288;VALID;(-0.0361595936119556, 0.0201890580356121, 0.999142050743103);(0.0323680005967617, 0, 0);0.208391308784485;2;0.939635396003723
139344;1337;41.63894;(0.062, 1.234, -1.525);(11.417, 29.801, 2.314);VALID;(-0.0480302199721336, 0.02727453969419, 0.998473405838013);(0, 0, 0);VALID;(-0.0466906279325485, 0.0192109346389771, 0.998724639415741);(-0.0323680005967617, 0, 0);0.18761882185936;VALID;(-0.0493665933609009, 0.0353363193571568, 0.998155415058136);(0.0323680005967617, 0, 0);0.206716865301132;2;0.645415246486664
139345;1337;41.63894;(0.062, 1.234, -1.525);(11.417, 29.801, 2.314);VALID;(-0.0611767321825027, 0.0472728908061981, 0.997006833553314);(0, 0, 0);VALID;(-0.0615239404141903, 0.0395355150103569, 0.997322261333466);(-0.0323680005967617, 0, 0);0.187301486730576;VALID;(-0.0608258508145809, 0.0550074242055416, 0.996631503105164);(0.0323680005967617, 0, 0);0.201679825782776;2;0.303522080183029
139346;1338;41.64909;(0.062, 1.234, -1.525);(11.417, 29.809, 2.322);VALID;(-0.0726822838187218, 0.0668259039521217, 0.995113849639893);(0, 0, 0);VALID;(-0.073701448738575, 0.0582060664892197, 0.995580315589905);(-0.0323680005967617, 0, 0);0.186154708266258;VALID;(-0.0716576278209686, 0.0754406973719597, 0.994572222232819);(0.0323680005967617, 0, 0);0.201313048601151;2;0
139347;1339;41.66693;(0.062, 1.234, -1.525);(11.426, 29.809, 2.334);VALID;(-0.0829143822193146, 0.0868678838014603, 0.99276340007782);(0, 0, 0);VALID;(-0.085032694041729, 0.0768238231539726, 0.99341207742691);(-0.0323680005967617, 0, 0);0.185045823454857;VALID;(-0.080787293612957, 0.0969027504324913, 0.992009699344635);(0.0323680005967617, 0, 0);0.200698345899582;2;0
139348;1339;41.66693;(0.062, 1.234, -1.525);(11.426, 29.809, 2.334);VALID;(-0.0895600095391274, 0.0996721908450127, 0.990981578826904);(0, 0, 0);VALID;(-0.0917798057198524, 0.0877886712551117, 0.991901993751526);(-0.0323680005967617, 0, 0);0.185360133647919;VALID;(-0.0873270481824875, 0.111541055142879, 0.989915430545807);(0.0323680005967617, 0, 0);0.200299635529518;2;0
139349;1340;41.68417;(0.062, 1.234, -1.525);(11.433, 29.806, 2.352);VALID;(-0.0935614332556725, 0.106485806405544, 0.989902555942535);(0, 0, 0);VALID;(-0.0963552370667458, 0.0940481722354889, 0.990893840789795);(-0.0323680005967617, 0, 0);0.185344412922859;VALID;(-0.0907523334026337, 0.118906028568745, 0.988749384880066);(0.0323680005967617, 0, 0);0.199585035443306;2;0
139350;1340;41.68417;(0.062, 1.234, -1.525);(11.433, 29.806, 2.352);VALID;(-0.0961871743202209, 0.110307790338993, 0.989232122898102);(0, 0, 0);VALID;(-0.0995948240160942, 0.0980624556541443, 0.990184128284454);(-0.0323680005967617, 0, 0);0.18566420674324;VALID;(-0.0927639007568359, 0.122535206377506, 0.988119423389435);(0.0323680005967617, 0, 0);0.200545087456703;2;0
139351;1341;41.70083;(0.062, 1.234, -1.525);(11.435, 29.805, 2.350);VALID;(-0.0976139828562737, 0.112406507134438, 0.988856077194214);(0, 0, 0);VALID;(-0.101058095693588, 0.100234627723694, 0.989818334579468);(-0.0323680005967617, 0, 0);0.186023280024529;VALID;(-0.0941541641950607, 0.124560296535492, 0.987734615802765);(0.0323680005967617, 0, 0);0.200330853462219;2;0
139352;1342;41.71531;(0.062, 1.234, -1.525);(11.446, 29.801, 2.357);VALID;(-0.0991802215576172, 0.113764554262161, 0.988544821739197);(0, 0, 0);VALID;(-0.102852493524551, 0.101607881486416, 0.989493429660797);(-0.0323680005967617, 0, 0);0.186815440654755;VALID;(-0.0954918637871742, 0.125902786850929, 0.98743599653244);(0.0323680005967617, 0, 0);0.20034684240818;2;0
139353;1342;41.71531;(0.062, 1.234, -1.525);(11.446, 29.801, 2.357);VALID;(-0.10018415004015, 0.114511258900166, 0.988357365131378);(0, 0, 0);VALID;(-0.10417852550745, 0.10239439457655, 0.989273607730865);(-0.0323680005967617, 0, 0);0.185545966029167;VALID;(-0.096173383295536, 0.12660938501358, 0.98727947473526);(0.0323680005967617, 0, 0);0.199803248047829;2;0
139354;1343;41.73335;(0.062, 1.234, -1.525);(11.453, 29.778, 2.358);VALID;(-0.101157434284687, 0.115189537405968, 0.988179385662079);(0, 0, 0);VALID;(-0.105593949556351, 0.103501409292221, 0.98900830745697);(-0.0323680005967617, 0, 0);0.185888677835464;VALID;(-0.0967050418257713, 0.126859575510025, 0.987195432186127);(0.0323680005967617, 0, 0);0.199962794780731;2;0
139355;1343;41.73335;(0.062, 1.234, -1.525);(11.453, 29.778, 2.358);VALID;(-0.101642742753029, 0.115451104938984, 0.988099098205566);(0, 0, 0);VALID;(-0.106054358184338, 0.103799313306808, 0.988927781581879);(-0.0323680005967617, 0, 0);0.186972349882126;VALID;(-0.0972152799367905, 0.127084895968437, 0.98711633682251);(0.0323680005967617, 0, 0);0.200234174728394;2;0
139356;1344;41.75175;(0.062, 1.234, -1.525);(11.458, 29.768, 2.365);VALID;(-0.102053172886372, 0.115298449993134, 0.988074600696564);(0, 0, 0);VALID;(-0.106354430317879, 0.103435210883617, 0.988933742046356);(-0.0323680005967617, 0, 0);0.185835212469101;VALID;(-0.097735583782196, 0.127143248915672, 0.987057447433472);(0.0323680005967617, 0, 0);0.199917331337929;2;0
139357;1344;41.75175;(0.062, 1.234, -1.525);(11.458, 29.768, 2.365);VALID;(-0.102648966014385, 0.115841798484325, 0.987949311733246);(0, 0, 0);VALID;(-0.106962211430073, 0.104557119309902, 0.988750159740448);(-0.0323680005967617, 0, 0);0.18590059876442;VALID;(-0.0983206778764725, 0.127109497785568, 0.987003684043884);(0.0323680005967617, 0, 0);0.200193464756012;2;0
139358;1345;41.76726;(0.062, 1.234, -1.525);(11.468, 29.750, 2.362);VALID;(-0.102902926504612, 0.115904271602631, 0.987915575504303);(0, 0, 0);VALID;(-0.107060819864273, 0.104596585035324, 0.988735318183899);(-0.0323680005967617, 0, 0);0.186884105205536;VALID;(-0.0987300276756287, 0.127195060253143, 0.986951768398285);(0.0323680005967617, 0, 0);0.199763402342796;2;0
139359;1346;41.78614;(0.062, 1.234, -1.525);(11.474, 29.742, 2.364);VALID;(-0.102887965738773, 0.116135083138943, 0.987890005111694);(0, 0, 0);VALID;(-0.107042521238327, 0.104569174349308, 0.988740205764771);(-0.0323680005967617, 0, 0);0.186819314956665;VALID;(-0.0987177863717079, 0.127683371305466, 0.986889958381653);(0.0323680005967617, 0, 0);0.198907107114792;2;0
139360;1346;41.78614;(0.062, 1.234, -1.525);(11.474, 29.742, 2.364);VALID;(-0.103284172713757, 0.116669379174709, 0.987785696983337);(0, 0, 0);VALID;(-0.107701629400253, 0.104974217712879, 0.988625705242157);(-0.0323680005967617, 0, 0);0.187093168497086;VALID;(-0.0988505035638809, 0.128346219658852, 0.986790657043457);(0.0323680005967617, 0, 0);0.199855998158455;2;0
139361;1347;41.80461;(0.062, 1.234, -1.525);(11.478, 29.721, 2.368);VALID;(-0.103326112031937, 0.116746120154858, 0.987772285938263);(0, 0, 0);VALID;(-0.107624903321266, 0.10495986789465, 0.98863559961319);(-0.0323680005967617, 0, 0);0.186745852231979;VALID;(-0.0990109816193581, 0.128513902425766, 0.98675274848938);(0.0323680005967617, 0, 0);0.198907107114792;2;0
139362;1347;41.80461;(0.062, 1.234, -1.525);(11.478, 29.721, 2.368);VALID;(-0.103340372443199, 0.116679318249226, 0.987778663635254);(0, 0, 0);VALID;(-0.10749152302742, 0.104853622615337, 0.988661348819733);(-0.0323680005967617, 0, 0);0.185747057199478;VALID;(-0.0991729125380516, 0.128486603498459, 0.986740052700043);(0.0323680005967617, 0, 0);0.200270399451256;2;0
139363;1348;41.82453;(0.062, 1.234, -1.525);(11.487, 29.728, 2.389);VALID;(-0.103169783949852, 0.11662669479847, 0.987802743911743);(0, 0, 0);VALID;(-0.107498332858086, 0.104758702218533, 0.988670706748962);(-0.0323680005967617, 0, 0);0.186750382184982;VALID;(-0.0988246873021126, 0.128475993871689, 0.986776351928711);(0.0323680005967617, 0, 0);0.198915243148804;2;0
139364;1348;41.82453;(0.062, 1.234, -1.525);(11.487, 29.728, 2.389);VALID;(-0.102983847260475, 0.116801060736179, 0.987801492214203);(0, 0, 0);VALID;(-0.107380039989948, 0.105095766484737, 0.988647758960724);(-0.0323680005967617, 0, 0);0.186807304620743;VALID;(-0.0985714793205261, 0.128488019108772, 0.986800134181976);(0.0323680005967617, 0, 0);0.198943614959717;2;0.0569831319153309
139365;1349;41.84719;(0.062, 1.234, -1.525);(11.476, 29.721, 2.386);VALID;(-0.102792181074619, 0.116952054202557, 0.987803637981415);(0, 0, 0);VALID;(-0.107119895517826, 0.105129078030586, 0.988672435283661);(-0.0323680005967617, 0, 0);0.188340321183205;VALID;(-0.0984480977058411, 0.128756403923035, 0.986777484416962);(0.0323680005967617, 0, 0);0.199851259589195;2;0.379591166973114
139366;1349;41.84719;(0.062, 1.234, -1.525);(11.476, 29.721, 2.386);VALID;(-0.102721929550171, 0.116986222565174, 0.987806856632233);(0, 0, 0);VALID;(-0.106920279562473, 0.105166345834732, 0.988690078258514);(-0.0323680005967617, 0, 0);0.188107565045357;VALID;(-0.0985073298215866, 0.128787592053413, 0.986767470836639);(0.0323680005967617, 0, 0);0.198995128273964;2;0.702560603618622
139367;1350;41.86472;(0.062, 1.234, -1.525);(11.455, 29.720, 2.385);VALID;(-0.102696344256401, 0.117064528167248, 0.987800240516663);(0, 0, 0);VALID;(-0.10691910982132, 0.105137556791306, 0.988693296909332);(-0.0323680005967617, 0, 0);0.188955590128899;VALID;(-0.0984570533037186, 0.128972664475441, 0.986748337745667);(0.0323680005967617, 0, 0);0.19987864792347;2;0.909588754177094
139368;1350;41.86472;(0.062, 1.234, -1.525);(11.455, 29.720, 2.385);VALID;(-0.102478466928005, 0.117062605917454, 0.987823128700256);(0, 0, 0);VALID;(-0.106583289802074, 0.105312667787075, 0.988710880279541);(-0.0323680005967617, 0, 0);0.188666641712189;VALID;(-0.098357692360878, 0.128794327378273, 0.986781537532806);(0.0323680005967617, 0, 0);0.20151449739933;2;1
139369;1351;41.88688;(0.062, 1.234, -1.525);(11.448, 29.727, 2.378);VALID;(-0.102531567215919, 0.117239356040955, 0.987796664237976);(0, 0, 0);VALID;(-0.106774047017097, 0.105494670569897, 0.988670885562897);(-0.0323680005967617, 0, 0);0.187991172075272;VALID;(-0.098273016512394, 0.128965675830841, 0.986767590045929);(0.0323680005967617, 0, 0);0.199658334255219;2;1
139370;1351;41.88688;(0.062, 1.234, -1.525);(11.448, 29.727, 2.378);VALID;(-0.102395884692669, 0.117211274802685, 0.98781406879425);(0, 0, 0);VALID;(-0.106550775468349, 0.1055988073349, 0.988683879375458);(-0.0323680005967617, 0, 0);0.189246788620949;VALID;(-0.0982253327965736, 0.128805816173553, 0.986793220043182);(0.0323680005967617, 0, 0);0.201472386717796;2;1
139371;1352;41.90514;(0.062, 1.234, -1.525);(11.439, 29.723, 2.380);VALID;(-0.102431558072567, 0.117055550217628, 0.98782879114151);(0, 0, 0);VALID;(-0.106641955673695, 0.105380341410637, 0.988697350025177);(-0.0323680005967617, 0, 0);0.187778770923615;VALID;(-0.0982052981853485, 0.128712639212608, 0.986807346343994);(0.0323680005967617, 0, 0);0.20154432952404;2;1
139372;1352;41.90514;(0.062, 1.234, -1.525);(11.439, 29.723, 2.380);VALID;(-0.102281391620636, 0.117061771452427, 0.987843632698059);(0, 0, 0);VALID;(-0.106366768479347, 0.105469457805157, 0.988717496395111);(-0.0323680005967617, 0, 0);0.187285855412483;VALID;(-0.0981804803013802, 0.128636300563812, 0.986819803714752);(0.0323680005967617, 0, 0);0.201512962579727;2;1
139373;1353;41.92619;(0.062, 1.234, -1.525);(11.431, 29.751, 2.390);VALID;(-0.102311849594116, 0.116985693573952, 0.987849473953247);(0, 0, 0);VALID;(-0.106451168656349, 0.105393312871456, 0.988716542720795);(-0.0323680005967617, 0, 0);0.188133582472801;VALID;(-0.0981569513678551, 0.12856025993824, 0.986832022666931);(0.0323680005967617, 0, 0);0.201466143131256;2;1
139374;1353;41.92619;(0.062, 1.234, -1.525);(11.431, 29.751, 2.390);VALID;(-0.102299377322197, 0.116930186748505, 0.987857341766357);(0, 0, 0);VALID;(-0.106510028243065, 0.105317689478397, 0.988718271255493);(-0.0323680005967617, 0, 0);0.188531011343002;VALID;(-0.0980730503797531, 0.128524765372276, 0.986845016479492);(0.0323680005967617, 0, 0);0.201297298073769;2;1
139375;1353;41.92619;(0.062, 1.234, -1.525);(11.431, 29.751, 2.390);VALID;(-0.102284863591194, 0.116863593459129, 0.987866759300232);(0, 0, 0);VALID;(-0.106590025126934, 0.105252325534821, 0.988716602325439);(-0.0323680005967617, 0, 0);0.188388243317604;VALID;(-0.0979639366269112, 0.128456860780716, 0.986864686012268);(0.0323680005967617, 0, 0);0.201289221644402;2;1
139376;1354;41.94794;(0.062, 1.234, -1.525);(11.439, 29.751, 2.395);VALID;(-0.102230526506901, 0.116789199411869, 0.987881183624268);(0, 0, 0);VALID;(-0.106636755168438, 0.105107106268406, 0.988727033138275);(-0.0323680005967617, 0, 0);0.187937766313553;VALID;(-0.0978082790970802, 0.128453001379967, 0.986880600452423);(0.0323680005967617, 0, 0);0.201808243989944;2;1
139377;1354;41.94794;(0.062, 1.234, -1.525);(11.439, 29.751, 2.395);VALID;(-0.102188229560852, 0.11667986959219, 0.987898468971252);(0, 0, 0);VALID;(-0.106690846383572, 0.104976877570152, 0.988735020160675);(-0.0323680005967617, 0, 0);0.187937766313553;VALID;(-0.0976694673299789, 0.128364428877831, 0.986905872821808);(0.0323680005967617, 0, 0);0.200863480567932;2;1
139378;1355;41.97004;(0.062, 1.234, -1.525);(11.447, 29.757, 2.394);VALID;(-0.102101638913155, 0.116653732955456, 0.987910509109497);(0, 0, 0);VALID;(-0.106678910553455, 0.104934245347977, 0.988740801811218);(-0.0323680005967617, 0, 0);0.18874791264534;VALID;(-0.0975081250071526, 0.128354668617249, 0.986923098564148);(0.0323680005967617, 0, 0);0.201289221644402;2;1
139379;1355;41.97004;(0.062, 1.234, -1.525);(11.447, 29.757, 2.394);VALID;(-0.101994551718235, 0.116586565971375, 0.987929463386536);(0, 0, 0);VALID;(-0.106640100479126, 0.104814946651459, 0.98875766992569);(-0.0323680005967617, 0, 0);0.188503459095955;VALID;(-0.0973326042294502, 0.128339439630508, 0.986942410469055);(0.0323680005967617, 0, 0);0.201247483491898;2;1
139380;1356;41.98906;(0.062, 1.234, -1.525);(11.451, 29.739, 2.425);VALID;(-0.101994767785072, 0.116493813693523, 0.987940430641174);(0, 0, 0);VALID;(-0.106833465397358, 0.104642666876316, 0.98875504732132);(-0.0323680005967617, 0, 0);0.188670814037323;VALID;(-0.0971392840147018, 0.128325805068016, 0.986963272094727);(0.0323680005967617, 0, 0);0.201289221644402;2;1
139381;1356;41.98906;(0.062, 1.234, -1.525);(11.451, 29.739, 2.425);VALID;(-0.101928383111954, 0.116467840969563, 0.987950325012207);(0, 0, 0);VALID;(-0.106927260756493, 0.104614868760109, 0.988747835159302);(-0.0323680005967617, 0, 0);0.188661471009254;VALID;(-0.096912570297718, 0.128301456570625, 0.986988723278046);(0.0323680005967617, 0, 0);0.201393872499466;2;1
139382;1357;42.00924;(0.062, 1.234, -1.525);(11.458, 29.729, 2.410);VALID;(-0.101860426366329, 0.116441667079926, 0.987960398197174);(0, 0, 0);VALID;(-0.106936484575272, 0.104578144848347, 0.988750755786896);(-0.0323680005967617, 0, 0);0.188127219676971;VALID;(-0.0967673435807228, 0.128285720944405, 0.987004995346069);(0.0323680005967617, 0, 0);0.201249033212662;2;1
139383;1357;42.00924;(0.062, 1.234, -1.525);(11.458, 29.729, 2.410);VALID;(-0.101816482841969, 0.116421289741993, 0.987967371940613);(0, 0, 0);VALID;(-0.106941036880016, 0.104519009590149, 0.988756477832794);(-0.0323680005967617, 0, 0);0.188207894563675;VALID;(-0.0966747775673866, 0.128303945064545, 0.987011671066284);(0.0323680005967617, 0, 0);0.203001365065575;2;1
139384;1358;42.03124;(0.062, 1.234, -1.525);(11.464, 29.707, 2.395);VALID;(-0.101899161934853, 0.116442158818245, 0.987956345081329);(0, 0, 0);VALID;(-0.107261598110199, 0.104514762759209, 0.988722205162048);(-0.0323680005967617, 0, 0);0.188829272985458;VALID;(-0.0965192466974258, 0.12834957242012, 0.987020969390869);(0.0323680005967617, 0, 0);0.20175214111805;2;1
139385;1358;42.03124;(0.062, 1.234, -1.525);(11.464, 29.707, 2.395);VALID;(-0.101754814386368, 0.116509094834328, 0.987963378429413);(0, 0, 0);VALID;(-0.107073605060577, 0.104581020772457, 0.988735556602478);(-0.0323680005967617, 0, 0);0.189968273043633;VALID;(-0.0964186042547226, 0.128417238593102, 0.987022042274475);(0.0323680005967617, 0, 0);0.201774045825005;2;1
139386;1359;42.05036;(0.062, 1.234, -1.525);(11.490, 29.703, 2.365);VALID;(-0.102718062698841, 0.117311038076878, 0.987768769264221);(0, 0, 0);VALID;(-0.10831506550312, 0.105574794113636, 0.988494694232941);(-0.0323680005967617, 0, 0);0.187062799930573;VALID;(-0.0971036404371262, 0.129027381539345, 0.986875295639038);(0.0323680005967617, 0, 0);0.202982172369957;2;1
139387;1359;42.05036;(0.062, 1.234, -1.525);(11.490, 29.703, 2.365);VALID;(-0.109464652836323, 0.128970682621002, 0.985588192939758);(0, 0, 0);VALID;(-0.116904370486736, 0.123393923044205, 0.985447764396667);(-0.0323680005967617, 0, 0);0.188024967908859;VALID;(-0.102015465497971, 0.134536281228065, 0.98564338684082);(0.0323680005967617, 0, 0);0.202708706259727;2;1
139388;1360;42.07127;(0.062, 1.234, -1.525);(11.517, 29.700, 2.352);VALID;(-0.118158414959908, 0.141396701335907, 0.982876181602478);(0, 0, 0);VALID;(-0.126496896147728, 0.136604085564613, 0.98251610994339);(-0.0323680005967617, 0, 0);0.187444478273392;VALID;(-0.10980898141861, 0.146176233887672, 0.983145177364349);(0.0323680005967617, 0, 0);0.202701836824417;2;0.79243391752243
139389;1360;42.07127;(0.062, 1.234, -1.525);(11.517, 29.700, 2.352);VALID;(-0.128969073295593, 0.155644729733467, 0.979357779026031);(0, 0, 0);VALID;(-0.136860817670822, 0.152634382247925, 0.978760361671448);(-0.0323680005967617, 0, 0);0.18686954677105;VALID;(-0.121068090200424, 0.158643931150436, 0.97988498210907);(0.0323680005967617, 0, 0);0.200558930635452;2;0.533335387706757
139390;1361;42.0907;(0.062, 1.234, -1.525);(11.505, 29.727, 2.402);VALID;(-0.141663372516632, 0.16919469833374, 0.975348472595215);(0, 0, 0);VALID;(-0.151687100529671, 0.166900530457497, 0.974235713481903);(-0.0323680005967617, 0, 0);0.186339780688286;VALID;(-0.131624490022659, 0.171470776200294, 0.976356863975525);(0.0323680005967617, 0, 0);0.199962839484215;2;0.263541877269745
139391;1361;42.0907;(0.062, 1.234, -1.525);(11.505, 29.727, 2.402);VALID;(-0.15151110291481, 0.178177878260612, 0.972263872623444);(0, 0, 0);VALID;(-0.163111284375191, 0.173629850149155, 0.971209228038788);(-0.0323680005967617, 0, 0);0.187364116311073;VALID;(-0.139887228608131, 0.182698056101799, 0.973166465759277);(0.0323680005967617, 0, 0);0.199530780315399;2;0.069726936519146
139392;1362;42.11112;(0.062, 1.234, -1.525);(11.482, 29.716, 2.425);VALID;(-0.157540813088417, 0.186078011989594, 0.969822585582733);(0, 0, 0);VALID;(-0.169580668210983, 0.180687814950943, 0.968810796737671);(-0.0323680005967617, 0, 0);0.186201021075249;VALID;(-0.145473390817642, 0.191435635089874, 0.97066468000412);(0.0323680005967617, 0, 0);0.199579834938049;2;0
139393;1362;42.11112;(0.062, 1.234, -1.525);(11.482, 29.716, 2.425);VALID;(-0.161754056811333, 0.191069021821022, 0.968157172203064);(0, 0, 0);VALID;(-0.174089446663857, 0.184816002845764, 0.967231035232544);(-0.0323680005967617, 0, 0);0.185887262225151;VALID;(-0.149387583136559, 0.197285324335098, 0.968897223472595);(0.0323680005967617, 0, 0);0.198802262544632;2;0
139394;1363;42.13237;(0.062, 1.234, -1.525);(11.465, 29.708, 2.420);VALID;(-0.164402082562447, 0.193143308162689, 0.967299163341522);(0, 0, 0);VALID;(-0.177486300468445, 0.18464595079422, 0.966646015644073);(-0.0323680005967617, 0, 0);0.185190707445145;VALID;(-0.151277765631676, 0.201593577861786, 0.96771639585495);(0.0323680005967617, 0, 0);0.197847113013268;2;0
139395;1363;42.13237;(0.062, 1.234, -1.525);(11.465, 29.708, 2.420);VALID;(-0.164865061640739, 0.19539013504982, 0.966768980026245);(0, 0, 0);VALID;(-0.176797300577164, 0.186801955103874, 0.966358006000519);(-0.0323680005967617, 0, 0);0.184755742549896;VALID;(-0.152897149324417, 0.20393605530262, 0.966970801353455);(0.0323680005967617, 0, 0);0.196726247668266;2;0
