Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
18738;1000947043420094287;63852426924573;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18739;1000947043425156259;63852426924573;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18740;1000947043430243034;63852426924573;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18741;1000947043435346457;63852426924573;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18742;1000947043440459662;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18743;1000947043445575582;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18744;1000947043450690964;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18745;1000947043455815619;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18746;1000947043460941968;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18747;1000947043466065491;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18748;1000947043471184045;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18749;1000947043476260223;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18750;1000947043481333782;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18751;1000947043486404798;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
