Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusName
420569;1000095919395932000;63853880416324;(-0.305, 0.826, 0.361);(0.032, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
420589;1000095919495977351;63853880416324;(-0.305, 0.826, 0.361);(0.032, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
420609;1000095919596017281;63853880416324;(-0.305, 0.826, 0.361);(0.032, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
420629;1000095919696054631;63853880416324;(-0.305, 0.826, 0.361);(0.032, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
420649;1000095919796089915;63853880416324;(-0.305, 0.826, 0.361);(0.032, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
420669;1000095919896132018;63853880416402;(-0.305, 0.826, 0.361);(0.032, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
420689;1000095919996171629;63853880416492;(-0.305, 0.826, 0.361);(0.032, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
420709;1000095920096207797;63853880416702;(-0.305, 0.826, 0.361);(0.032, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
420729;1000095920196249948;63853880416702;(-0.305, 0.826, 0.361);(0.032, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
420749;1000095920296289805;63853880417126;(-0.305, 0.826, 0.361);(0.032, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
420769;1000095920396326779;63853880417126;(-0.305, 0.826, 0.361);(0.032, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
420789;1000095920496369768;63853880417126;(-0.305, 0.826, 0.361);(0.032, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
420809;1000095920596410066;63853880417126;(-0.305, 0.826, 0.361);(0.032, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
420829;1000095920696448174;63853880417337;(-0.305, 0.826, 0.361);(0.032, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
420849;1000095920796484058;63853880417337;(-0.305, 0.826, 0.361);(0.032, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
