UnixTimeSeconds;Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusName;EmperorsRating - UnixTimeSeconds;RatingHand;CurrentRotation;CurrentHumanReadableRotation
1719413791;3738410;1000190043938016983;63855017791889;(-0.438, 0.785, 1.798);(0.035, 0.545, -0.015, 0.838);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1719413791;3738430;1000190044037981964;63855017791889;(-0.438, 0.785, 1.798);(0.035, 0.545, -0.015, 0.838);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1719413791;3738450;1000190044138033577;63855017791890;(-0.438, 0.785, 1.798);(0.035, 0.545, -0.015, 0.838);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1719413791;3738470;1000190044238084085;63855017791890;(-0.438, 0.785, 1.798);(0.035, 0.545, -0.015, 0.838);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1719413791;3738490;1000190044338068548;63855017791890;(-0.438, 0.785, 1.798);(0.035, 0.545, -0.015, 0.838);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1719413792;3738510;1000190044438057419;63855017792099;(-0.438, 0.785, 1.798);(0.034, 0.545, -0.015, 0.837);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1719413792;3738530;1000190044538116669;63855017792099;(-0.438, 0.785, 1.798);(0.034, 0.545, -0.015, 0.837);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1719413792;3738550;1000190044638168078;63855017792311;(-0.439, 0.785, 1.798);(0.034, 0.545, -0.015, 0.837);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1719413792;3738570;1000190044738157986;63855017792311;(-0.439, 0.785, 1.798);(0.034, 0.545, -0.015, 0.837);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1719413792;3738590;1000190044838220979;63855017792664;(-0.438, 0.785, 1.798);(0.035, 0.545, -0.015, 0.838);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1719413792;3738610;1000190044938279380;63855017792664;(-0.438, 0.785, 1.798);(0.035, 0.545, -0.015, 0.838);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1719413792;3738630;1000190045038327697;63855017792664;(-0.438, 0.785, 1.798);(0.035, 0.545, -0.015, 0.838);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1719413792;3738650;1000190045138317442;63855017792664;(-0.438, 0.785, 1.798);(0.035, 0.545, -0.015, 0.838);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
