Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability
32357;1000003932704507800;63731540518822;(-0.289, -0.174, -0.204);(13.146, 11.419, 2.640);VALID;-0.0236856024712324, 0.0051552876830101, 0.999706149101257;0, 0, 0;VALID;-0.0212519783526659, 0.000769376812968403, 0.999773859977722;-0.0323067493736744, 0, 0;0.193507716059685;VALID;-0.026118628680706, 0.00954106822609901, 0.999613344669342;0.0323067493736744, 0, 0;0.197287186980248;2;1
32358;1000003932714487100;63731540518837;(-0.289, -0.174, -0.204);(13.153, 11.418, 2.652);VALID;-0.0236791167408228, 0.00521341850981116, 0.999706029891968;0, 0, 0;VALID;-0.0212926659733057, 0.000844535999931395, 0.999772906303406;-0.0323067493736744, 0, 0;0.193147167563438;VALID;-0.0260649789124727, 0.00958217121660709, 0.999614298343658;0.0323067493736744, 0, 0;0.197909891605377;2;1
32359;1000003932724565700;63731540518837;(-0.289, -0.174, -0.204);(13.153, 11.418, 2.652);VALID;-0.0237630233168602, 0.00534879323095083, 0.999703288078308;0, 0, 0;VALID;-0.0213655866682529, 0.00106545141898096, 0.999771177768707;-0.0323067493736744, 0, 0;0.193577215075493;VALID;-0.0261598881334066, 0.00963200535625219, 0.999611377716064;0.0323067493736744, 0, 0;0.197679668664932;2;1
32360;1000003932734512900;63731540518854;(-0.289, -0.174, -0.204);(13.163, 11.409, 2.655);VALID;-0.0238544493913651, 0.00546613335609436, 0.999700486660004;0, 0, 0;VALID;-0.0214442256838083, 0.00125321082305163, 0.999769270420074;-0.0323067493736744, 0, 0;0.193345680832863;VALID;-0.0262641105800867, 0.00967892725020647, 0.999608159065247;0.0323067493736744, 0, 0;0.197679668664932;2;1
32361;1000003932744480000;63731540518870;(-0.289, -0.174, -0.204);(13.177, 11.386, 2.654);VALID;-0.0238197650760412, 0.00569871114566922, 0.999700009822845;0, 0, 0;VALID;-0.0214357394725084, 0.00167333299759775, 0.999768853187561;-0.0323067493736744, 0, 0;0.195058256387711;VALID;-0.0262032672762871, 0.00972396414726973, 0.999609351158142;0.0323067493736744, 0, 0;0.198582634329796;2;1
32362;1000003932754480900;63731540518870;(-0.289, -0.174, -0.204);(13.177, 11.386, 2.654);VALID;-0.0238831881433725, 0.00611384678632021, 0.99969607591629;0, 0, 0;VALID;-0.0216017365455627, 0.00246684160083532, 0.999763607978821;-0.0323067493736744, 0, 0;0.193861529231071;VALID;-0.026164198294282, 0.00976073835045099, 0.999610006809235;0.0323067493736744, 0, 0;0.198582634329796;2;1
32363;1000003932764723700;63731540518887;(-0.289, -0.174, -0.204);(13.184, 11.388, 2.642);VALID;-0.023844625800848, 0.00642014294862747, 0.999695062637329;0, 0, 0;VALID;-0.0215579494833946, 0.00304927420802414, 0.999762952327728;-0.0323067493736744, 0, 0;0.193979024887085;VALID;-0.0261309053748846, 0.00979090575128794, 0.999610602855682;0.0323067493736744, 0, 0;0.198582634329796;2;1
32364;1000003932774645600;63731540518887;(-0.289, -0.174, -0.204);(13.184, 11.388, 2.642);VALID;-0.0237887073308229, 0.00675168354064226, 0.999694228172302;0, 0, 0;VALID;-0.021539906039834, 0.00357923749834299, 0.999761581420898;-0.0323067493736744, 0, 0;0.193947240710258;VALID;-0.0260371472686529, 0.00992402713745832, 0.999611735343933;0.0323067493736744, 0, 0;0.199178278446198;2;1
32365;1000003932784641300;63731540518904;(-0.289, -0.174, -0.204);(13.172, 11.387, 2.640);VALID;-0.0236707013100386, 0.0067643360234797, 0.999696910381317;0, 0, 0;VALID;-0.0214285254478455, 0.00348052964545786, 0.999764323234558;-0.0323067493736744, 0, 0;0.191930919885635;VALID;-0.0259125046432018, 0.0100480355322361, 0.999613702297211;0.0323067493736744, 0, 0;0.199140325188637;2;1
32366;1000003932794680500;63731540518920;(-0.289, -0.174, -0.204);(13.174, 11.381, 2.641);VALID;-0.0235936976969242, 0.00674298545345664, 0.999698877334595;0, 0, 0;VALID;-0.0213795341551304, 0.00333234015852213, 0.999765872955322;-0.0323067493736744, 0, 0;0.192197814583778;VALID;-0.025807473808527, 0.0101535189896822, 0.999615371227264;0.0323067493736744, 0, 0;0.198752164840698;2;1
